Symbol,Company,GICS Sector,GICS Sub-Industry 
NVDA,Nvidia,Information Technology,Semiconductors 
NVR,NVR,Consumer Discretionary,Homebuilding 
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail 
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production 
OGE,OG&E,Utilities,Multi-Utilities 
OKTA,Okta,Information Technology,Application Software 
ODFL,Old Dominion,Industrials,Cargo Ground Transportation 
ORI,Old Republic,Financials,Property & Casualty Insurance 
OLN,Olin,Materials,Diversified Chemicals 
OLLI,Ollie's,Consumer Discretionary,General Merchandise Stores 
OHI,Omega Healthcare Investors,Real Estate,
OMC,Omnicom,Communication Services,Advertising 
ON,ON Semiconductor,Information Technology,Semiconductors 
OMF,OneMain Financial,Financials,
OKE,Oneok,Energy,Oil & Gas Storage & Transportation 
ONTO,Onto Innovation,Information Technology,Semiconductor Materials & Equipment 
ORCL,Oracle,Information Technology,Application Software 
OGN,Organon,Health Care,Pharmaceuticals 
OSK,Oshkosh,Industrials,Construction Machinery & Heavy Transportation Equipment 
OTIS,Otis,Industrials,Industrial Machinery & Supplies & Components 
OVV,Ovintiv,Energy,
OC,Owens Corning,Industrials,Building Products 
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment 
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials 
PLTR,Palantir,Information Technology,
PANW,Palo Alto Networks,Information Technology,Systems Software 
PARAA,Paramount (Class A),Communication Services,Movies & Entertainment 
PARA,Paramount (Class B),Communication Services,Movies & Entertainment 
PK,Park Hotels & Resorts,Real Estate,Hotel & Resort REITs 
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components 
PSN,Parsons,Industrials,Aerospace & Defense 
PAYX,Paychex,Industrials,Human Resource & Employment Services 
PAYC,Paycom,Information Technology,Application Software 
PYCR,Paycor,Information Technology,
PCTY,Paylocity,Information Technology,Application Software 
PYPL,PayPal,Financials,Transaction & Payment Processing Services 
PEGA,Pegasystems,Information Technology,
PENN,Penn Entertainment,Consumer Discretionary,Casinos & Gaming 
PAG,Penske Automotive,Consumer Discretionary,
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components 
PEN,Penumbra,Health Care,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages 
PFGC,Performance Food Group,Consumer Staples,Food Distributors 
PR,Permian Resources,Energy,Oil & Gas Exploration & Production 
PRGO,Perrigo,Health Care,Pharmaceuticals 
PFE,Pfizer,Health Care,Pharmaceuticals 
PCG,PG&E,Utilities,
PM,Philip Morris International,Consumer Staples,Tobacco 
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing 
PPC,Pilgrim's Pride,Consumer Staples,Packaged Foods & Meats 
PNFP,Pinnacle Financial Partners,Financials,Regional Banks 
PNW,Pinnacle West,Utilities,Multi-Utilities 
PINS,Pinterest,Communication Services,
PLNT,Planet Fitness,Consumer Discretionary,
PLTK,Playtika,Communication Services,
PNC,PNC Financial Services,Financials,Regional Banks 
PII,Polaris,Consumer Discretionary,Leisure Products 
POOL,Pool Corporation,Consumer Discretionary,Distributors 
BPOP,Popular,Financials,
POST,Post Holdings,Consumer Staples,Packaged Foods & Meats 
PPG,PPG Industries,Materials,Specialty Chemicals 
PPL,PPL,Utilities,Electric Utilities 
PINC,"Premier, Inc.",Health Care,
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks 
PRI,Primerica,Financials,Life & Health Insurance 
PFG,Principal Financial Group,Financials,Life & Health Insurance 
PCOR,Procore,Information Technology,
PG,Procter & Gamble,Consumer Staples,Personal Care Products 
PGR,Progressive Corporation,Financials,Property & Casualty Insurance 
PLD,Prologis,Real Estate,Industrial REITs 
PB,Prosperity Bancshares,Financials,Regional Banks 
PRU,Prudential Financial,Financials,Life & Health Insurance 
PTC,PTC Inc.,Information Technology,Application Software 
PSA,Public Storage,Real Estate,Self-Storage REITs 
PEG,Public Service Enterprise Group,Utilities,Electric Utilities 
PHM,PulteGroup,Consumer Discretionary,Homebuilding 
PSTG,Pure Storage,Information Technology,
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods "
QGEN,Qiagen,Health Care,
QRVO,Qorvo,Information Technology,Semiconductors 
QCOM,Qualcomm,Information Technology,Semiconductors 
PWR,Quanta Services,Industrials,Construction & Engineering 
QS,QuantumScape,Consumer Discretionary,
DGX,Quest Diagnostics,Health Care,Health Care Services 
QDEL,QuidelOrtho,Health Care,Health Care Supplies 
RCM,R1 RCM,Health Care,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods "
RRC,Range Resources,Energy,Oil & Gas Exploration & Production 
RJF,Raymond James,Financials,Investment Banking & Brokerage 
RYN,Rayonier,Real Estate,Timber REITs 
RTX,RTX Corporation,Industrials,Aerospace & Defense 
RBC,RBC Bearings,Industrials,
O,Realty Income,Real Estate,Retail REITs 
RRX,Regal Rexnord,Industrials,Electrical Components & Equipment 
REG,Regency Centers,Real Estate,Retail REITs 
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology 
RF,Regions,Financials,Regional Banks 
RGA,Reinsurance Group of America,Financials,Reinsurance 
RS,Reliance Steel,Materials,Steel 
RNR,RenaissanceRe,Financials,Reinsurance 
RGEN,Repligen,Health Care,Biotechnology 
RSG,Republic Services,Industrials,Environmental & Facilities Services 
RMD,Resmed,Health Care,Health Care Equipment 
RVTY,Revvity,Health Care,Health Care Equipment 
REXR,Rexford Industrial,Real Estate,
REYN,Reynolds Consumer Products,Consumer Staples,
RH,RH,Consumer Discretionary,Homefurnishing Retail 
RNG,RingCentral,Information Technology,
RBA,Ritchie Bros. Auctioneers,Industrials,
RITM,Rithm Capital,Financials,
RIVN,Rivian,Consumer Discretionary,
RLI,RLI Corp.,Financials,
RHI,Robert Half,Industrials,Human Resource & Employment Services 
HOOD,Robinhood Markets,Financials,
RBLX,Roblox Corporation,Communication Services,
RKT,Rocket Companies,Financials,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment 
ROIV,Roivant Sciences,Health Care,
ROKU,"Roku, Inc.",Communication Services,
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services 
ROP,Roper Technologies,Industrials,Industrial Conglomerates 
ROST,Ross Stores,Consumer Discretionary,Apparel Retail 
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines "
RGLD,Royal Gold,Materials,Precious Metals & Minerals 
RPRX,Royalty Pharma,Health Care,
RPM,RPM International,Materials,Specialty Chemicals 
RYAN,Ryan Specialty,Financials,
R,Ryder,Industrials,Cargo Ground Transportation 
SPGI,S&P Global,Financials,Financial Exchanges & Data 
SAIA,Saia,Industrials,
SAIC,SAIC,Industrials,Diversified Support Services 
CRM,Salesforce,Information Technology,Application Software 
SLM,Sallie Mae,Financials,Consumer Finance 
SRPT,Sarepta Therapeutics,Health Care,
SBAC,SBA Communications,Real Estate,Telecom Tower REITs 
HSIC,Henry Schein,Health Care,Health Care Distributors 
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services 
SNDR,Schneider National,Industrials,
SMG,Scotts Miracle-Gro Company,Materials,Fertilizers & Agricultural Chemicals 
SEB,Seaboard Corporation,Consumer Staples,
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials 
SEG,Seaport Entertainment Group,Real Estate,
SEIC,SEI Investments Company,Financials,Asset Management & Custody Banks 
SRE,Sempra,Utilities,Multi-Utilities 
ST,Sensata Technologies,Industrials,
S,SentinelOne,Information Technology,
SCI,Service Corporation International,Consumer Discretionary,Specialized Consumer Services 
NOW,ServiceNow,Information Technology,Systems Software 
SN,SharkNinja,Consumer Discretionary,Household Appliances 
SHW,Sherwin-Williams,Materials,Specialty Chemicals 
FOUR,Shift4,Information Technology,
SLGN,Silgan Holdings,Materials,"Metal, Glass & Plastic Containers "
SPG,Simon Property Group,Real Estate,Retail REITs 
SSD,Simpson Manufacturing Company,Industrials,Building Products 
SIRI,Sirius XM,Communication Services,Broadcasting 
SITE,SiteOne Landscape Supply,Industrials,
SKX,Skechers,Consumer Discretionary,Footwear 
SWKS,Skyworks Solutions,Information Technology,Semiconductors 
SMAR,Smartsheet Inc.,Information Technology,
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats 
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials 
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components 
SNOW,Snowflake Inc.,Information Technology,
SOFI,SoFi,Financials,
SOLV,Solventum,Health Care,Health Care Equipment 
SON,Sonoco,Materials,Paper & Plastic Packaging Products & Materials 
SHC,Sotera Health,Health Care,
SO,Southern Company,Utilities,Electric Utilities 
SCCO,Southern Copper,Materials,
LUV,Southwest Airlines,Industrials,Passenger Airlines 
SPB,Spectrum Brands,Consumer Staples,
SPR,Spirit Aerosystems,Industrials,
SPOT,Spotify,Communication Services,Movies & Entertainment 
SSNC,SS&C Technologies,Information Technology,
STAG,STAG Industrial,Real Estate,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components 
SBUX,Starbucks,Consumer Discretionary,Restaurants 
STWD,Starwood Property Trust,Financials,
STT,State Street Corporation,Financials,Asset Management & Custody Banks 
STLD,Steel Dynamics,Materials,Steel 
SRCL,Stericycle,Industrials,Environmental & Facilities Services 
STE,Steris,Health Care,Health Care Equipment 
SF,Stifel,Financials,Investment Banking & Brokerage 
SYK,Stryker Corporation,Health Care,Health Care Equipment 
SUI,Sun Communities,Real Estate,
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals "
SYF,Synchrony Financial,Financials,Consumer Finance 
SNPS,Synopsys,Information Technology,Application Software 
SNV,Synovus,Financials,Regional Banks 
SYY,Sysco,Consumer Staples,Food Distributors 
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services 
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment 
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods "
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation 
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail 
SNX,TD Synnex,Information Technology,Technology Distributors 
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services 
TDY,Teledyne Technologies,Industrials,Aerospace & Defense 
TFX,Teleflex,Health Care,Health Care Equipment 
TPX,Tempur Sealy International,Consumer Discretionary,Home Furnishings 
THC,Tenet Healthcare,Health Care,Health Care Facilities 
TDC,Teradata,Information Technology,IT Consulting & Other Services 
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment 
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers 
TTEK,Tetra Tech,Industrials,Environmental & Facilities Services 
TXN,Texas Instruments,Information Technology,Semiconductors 
TPL,Texas Pacific Land Corporation,Energy,
TXRH,Texas Roadhouse,Consumer Discretionary,
TXT,Textron,Industrials,Aerospace & Defense 
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services 
TFSL,Third Federal S&L,Financials,
THO,Thor Industries,Consumer Discretionary,Leisure Products 
TKR,Timken Company,Industrials,Industrial Machinery & Supplies & Components 
TJX,TJX Companies,Consumer Discretionary,Apparel Retail 
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment 
TOST,"Toast, Inc.",Information Technology,Transaction & Payment Processing Services 
TOL,Toll Brothers,Consumer Discretionary,Homebuilding 
BLD,TopBuild,Consumer Discretionary,
TTC,Toro Company (The),Industrials,Agricultural & Farm Machinery 
TPG,TPG Inc.,Financials,
TSCO,Tractor Supply Company,Consumer Discretionary,Other Specialty Retail 
TTD,Trade Desk (The),Information Technology,
TW,Tradeweb,Financials,
TT,Trane Technologies,Industrials,Building Products 
TDG,TransDigm Group,Industrials,Aerospace & Defense 
TRU,TransUnion,Industrials,
TNL,Travel + Leisure Co.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines "
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance 
TREX,"Trex Company, Inc.",Industrials,Building Products 
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments 
TRIP,Tripadvisor,Communication Services,Interactive Media & Services 
TFC,Truist Financial,Financials,Regional Banks 
DJT,Trump Media & Technology Group,Communication Services,Interactive Media & Services 
TWLO,Twilio,Information Technology,
TYL,Tyler Technologies,Information Technology,Application Software 
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats 
UHAL,U-Haul,Industrials,
UHAL.B,U-Haul (Series N),Industrials,
USB,U.S. Bank,Financials,Diversified Banks 
X,U.S. Steel,Materials,Steel 
UBER,Uber,Industrials,Passenger Ground Transportation 
UI,Ubiquiti,Information Technology,
UDR,"UDR, Inc.",Real Estate,Residential REITs 
UGI,UGI Corporation,Utilities,Gas Utilities 
PATH,UiPath,Information Technology,
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail 
RARE,Ultragenyx,Health Care,
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods "
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods "
UNP,Union Pacific Corporation,Industrials,Rail Transportation 
UAL,United Airlines Holdings,Industrials,Passenger Airlines 
UPS,United Parcel Service,Industrials,Air Freight & Logistics 
URI,United Rentals,Industrials,Trading Companies & Distributors 
UTHR,United Therapeutics,Health Care,Biotechnology 
UWMC,United Wholesale Mortgage,Financials,
UNH,UnitedHealth Group,Health Care,Managed Health Care 
U,Unity Technologies,Information Technology,
OLED,Universal Display Corporation,Information Technology,Semiconductors 
UHS,Universal Health Services,Health Care,Health Care Facilities 
UNM,Unum,Financials,Life & Health Insurance 
USFD,US Foods,Consumer Staples,
MTN,Vail Resorts,Consumer Discretionary,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing 
VMI,Valmont Industries,Industrials,Industrial Machinery & Supplies & Components 
VVV,Valvoline,Materials,Commodity Chemicals 
VEEV,Veeva Systems,Health Care,
VTR,Ventas,Real Estate,Health Care REITs 
VLTO,Veralto,Industrials,
VRSN,Verisign,Information Technology,Internet Services & Infrastructure 
VRSK,Verisk Analytics,Industrials,Research & Consulting Services 
VZ,Verizon,Communication Services,Integrated Telecommunication Services 
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology 
VRT,Vertiv,Industrials,
VSTS,Vestis,Consumer Discretionary,
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods "
VTRS,Viatris,Health Care,Pharmaceuticals 
VICI,Vici Properties,Real Estate,Hotel & Resort REITs 
VKTX,Viking Therapeutics,Health Care,Biotechnology 
VNOM,Viper Energy,Energy,Oil & Gas Storage & Transportation 
VIRT,Virtu Financial,Financials,
V,Visa Inc.,Financials,Transaction & Payment Processing Services 
VST,Vistra Corp.,Utilities,
VNT,Vontier,Information Technology,Electronic Equipment & Instruments 
VNO,Vornado Realty Trust,Real Estate,Office REITs 
VOYA,Voya Financial,Financials,Multi-Sector Holdings 
VMC,Vulcan Materials,Materials,Construction Materials 
WPC,W. P. Carey,Real Estate,
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance 
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components 
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment 
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail 
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail 
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment 
WBD,Warner Bros. Discovery,Communication Services,Broadcasting 
WM,Waste Management,Industrials,Environmental & Facilities Services 
WAT,Waters Corporation,Health Care,Health Care Distributors 
WSO,Watsco,Industrials,Trading Companies & Distributors 
W,Wayfair,Consumer Discretionary,
WFRD,Weatherford International,Energy,Oil & Gas Equipment & Services 
WBS,Webster Bank,Financials,Regional Banks 
WEC,WEC Energy Group,Utilities,Electric Utilities 
WFC,Wells Fargo,Financials,Diversified Banks 
WELL,Welltower,Real Estate,Health Care REITs 
WEN,Wendy's Company (The),Consumer Discretionary,Restaurants 
WCC,Wesco,Industrials,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies 
WAL,Western Alliance Bancorp,Financials,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals "
WU,Western Union,Information Technology,Data Processing & Outsourced Services 
WLK,Westlake Corporation,Materials,
WEX,WEX Inc.,Financials,Transaction & Payment Processing Services 
WY,Weyerhaeuser,Real Estate,Timber REITs 
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances 
WTM,White Mountains Insurance Group,Financials,
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation 
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail 
WTW,Willis Towers Watson,Financials,Insurance Brokers 
WSC,WillScot Mobile Mini,Industrials,
WING,Wingstop,Consumer Discretionary,
WTFC,Wintrust Financial,Financials,Regional Banks 
WOLF,Wolfspeed,Information Technology,Semiconductors 
WWD,"Woodward, Inc.",Industrials,Electrical Components & Equipment 
WDAY,"Workday, Inc.",Information Technology,Application Software 
WH,Wyndham Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines "
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming 
XEL,Xcel Energy,Utilities,Multi-Utilities 
XP,XP Inc.,Financials,Investment Banking & Brokerage 
XPO,XPO Logistics,Industrials,Cargo Ground Transportation 
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components 
YETI,Yeti Holdings,Consumer Discretionary,Leisure Products 
YUM,Yum! Brands,Consumer Discretionary,Restaurants 
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments 
ZG,Zillow (Class A),Real Estate,
Z,Zillow (Class C),Real Estate,
ZBH,Zimmer Biomet,Health Care,Health Care Equipment 
ZION,Zions Bancorporation,Financials,Regional Banks 
ZTS,Zoetis,Health Care,Pharmaceuticals 
ZM,Zoom Video Communications,Information Technology,Application Software 
ZI,ZoomInfo,Communication Services,
ZS,Zscaler,Information Technology,Application Software 
